jira号,rootcause,AI评论总结,结果置信度,达标,原因
VCU-124922,非VCU问题,日志断层及PID跳变指向HMIC异常，待排查 [详情: D:\program16\docs\2026-08-31\VCU-124922_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.2<0.7
VCU-151780,按照 CR 844023 删除远程控制类,远程空调设置跳变系属性RUN态不可用，补丁已提交待合入 [详情: D:\program16\docs\2026-08-31\VCU-151780_comments.md],0.603,否,置信度0.603<0.7，语义相似度0.571<0.7
VCU-155057,后排车窗的allowed信号为false，无法控制状态，请对手件确认。,后排车窗INC失效，定位为CAN回调allow信号置false，待查根因 [详情: D:\program16\docs\2026-08-31\VCU-155057_comments.md],0.509,是,
VCU-155122,Observable.zip 导致异常信息变更,zip误用致powerState异常，修复已验证关闭 [详情: D:\program16\docs\2026-08-31\VCU-155122_comments.md],0.752,是,
VCU-156176,"Duplicated with Bug 848027, 对手件available信号为false，以 848027跟踪。",自适应远光灯信号false，state=1根因待查 [详情: D:\program16\docs\2026-08-31\VCU-156176_comments.md],0.869,是,
VCU-156816,requirement change,车窗开关状态未联动，逻辑删除致复现失败，根因待查 [详情: D:\program16\docs\2026-08-31\VCU-156816_comments.md],0.913,是,
VCU-157809,便利上车和遍历下车的available信号都是false，不可用状态，请对手件确认。,信号available为false致座椅通风等不显示，待对手件确认 [详情: D:\program16\docs\2026-08-31\VCU-157809_comments.md],0.65,是,
VCU-162205,wad,标定开启但信号无响应，日志与视频时间不同步 [详情: D:\program16\docs\2026-08-31\VCU-162205_comments.md],0.918,是,
VCU-162230,无售后问题抱怨，且问题感知度极低,信号不可用致功能隐藏，疑版本配置差异待查 [详情: D:\program16\docs\2026-08-31\VCU-162230_comments.md],0.706,是,
VCU-162809,需求变更,BCM信号异常致天窗控制丢失，功能变更待评审 [详情: D:\program16\docs\2026-08-31\VCU-162809_comments.md],0.556,否,置信度0.556<0.7，语义相似度0.15<0.7
VCU-162883,na,设置下发与回调不同步，致0707标定偶发失败 [详情: D:\program16\docs\2026-08-31\VCU-162883_comments.md],0.507,否,置信度0.507<0.7，语义相似度0.318<0.7
VCU-164457,需求要求：快捷控制编辑态无需展示按键的状态，预览区和仓库中的按键应统一显示为 Normal状态。 且自动远光灯之前就为打开的状态，INC进入编辑态后，自动远光灯与其他按钮一起进入Normal状态，符合需求。,信号监听缺失致设置失败，问题待查 [详情: D:\program16\docs\2026-08-31\VCU-164457_comments.md],0.55,否,置信度0.55<0.7，语义相似度0.1<0.7
VCU-165996,没有同步自动除雾/自动座椅加热/自动座椅通风设置项,自动除雾不同步复现，修复效果待实车验证 [详情: D:\program16\docs\2026-08-31\VCU-165996_comments.md],0.535,否,置信度0.535<0.7，语义相似度0.35<0.7
VCU-172174,,,,否,Jira根因分析内容为空
VCU-181064,"557 上无远端控制车机wifi开关功能,当前判断了有该功能后return，导致修改Wifi用户名密码部分代码没有被执行。",后台改密后车机未同步，GMWlanService接收待确认，定位中 [详情: D:\program16\docs\2026-08-31\VCU-181064_comments.md],0.564,否,置信度0.564<0.7，语义相似度0.2<0.7
VCU-194755,测试延期,云端订阅异常嫌疑大，手机未准出，需真机复测 [详情: D:\program16\docs\2026-08-31\VCU-194755_comments.md],0.849,是,
VCU-194932,指令下发链路还未调通,MQTT重复上报致LLM连续失败，根因待查 [详情: D:\program16\docs\2026-08-31\VCU-194932_comments.md],0.523,否,置信度0.523<0.7，语义相似度0.2<0.7
VCU-195517,数据结构发生变化,车端订阅规则未升级致香氛功能异常，已定位待修复 [详情: D:\program16\docs\2026-08-31\VCU-195517_comments.md],0.527,否,置信度0.527<0.7，语义相似度0.377<0.7
VCU-195857,车辆后台配置问题,车云代理异常致VCU通信及证书注册失败，根因待查 [详情: D:\program16\docs\2026-08-31\VCU-195857_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.35<0.7
VCU-196129,界面信息应该没写进报文,车端充电目标值回显异常，指令下发后状态不同步，根因待查 [详情: D:\program16\docs\2026-08-31\VCU-196129_comments.md],0.555,否,置信度0.555<0.7，语义相似度0.2<0.7
VCU-196393,SEAT_PASSENGER_COMPARTMENT_MODE_HMI_REQUEST_EXTENDED_2发送后未置零,VCU模式101与库56不符，致车端不执行 [详情: D:\program16\docs\2026-08-31\VCU-196393_comments.md],0.852,是,
VCU-197199,VXM软件问题，0x424信号回no action后，mode1或mode2回false.断点VC9.4,下电后长链未建，VXM超时致高压不可用，待验证 [详情: D:\program16\docs\2026-08-31\VCU-197199_comments.md],0.543,否,置信度0.543<0.7，语义相似度0.2<0.7
VCU-197304,bus不间断的收到云端的订阅，每次收到订阅都会刷新订阅缓存，随后发送最新的topic数据给云，因为云在不停刷新订阅，所以没刷新一次则pub一次最新数据,云端重复下发FRIDGE_STATUS致状态跳变，待车端确认 [详情: D:\program16\docs\2026-08-31\VCU-197304_comments.md],0.723,是,
VCU-197348,如评论42所述，这个状况无法从技术层面解决，需要改UX交互避免发生，已经和PLM李慧超沟通确认要改交互,快速制冰发热闪跳，系旧pub覆盖UI状态，待复测 [详情: D:\program16\docs\2026-08-31\VCU-197348_comments.md],0.862,是,
VCU-198434,代码问题,VCU发送MODE101异常，CoreService未收值，定位指令环节待查 [详情: D:\program16\docs\2026-08-31\VCU-198434_comments.md],0.917,是,
VCU-199058,代码逻辑,关闭时状态未清空且UI透传，致图标残留，已定位待复测 [详情: D:\program16\docs\2026-08-31\VCU-199058_comments.md],0.895,是,
VCU-199070,手机端代码逻辑model为0或则-1 认为冰箱不正常,手机端误报“暂不可用”，已移除无效mode待复测 [详情: D:\program16\docs\2026-08-31\VCU-199070_comments.md],0.525,否,置信度0.525<0.7，语义相似度0.504<0.7
VCU-201492,当前版本无此问题,车端模式映射错误，致手机端显示行李箱，待确认归属 [详情: D:\program16\docs\2026-08-31\VCU-201492_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.1<0.7
VCU-202283,QNX防火墙问题,休眠唤醒后远控失败，因VCU未响应TCP握手致订阅未发起 [详情: D:\program16\docs\2026-08-31\VCU-202283_comments.md],0.689,否,置信度0.689<0.7，语义相似度0.418<0.7
VCU-205023,ND车型空调的标定与557不一样，标定不同AREAID不同，所以需要通过标定来动态修改areaid,总线信号异常致active未置位，待排查 [详情: D:\program16\docs\2026-08-31\VCU-205023_comments.md],0.522,否,置信度0.522<0.7，语义相似度0.562<0.7
VCU-205537,"原因是VCU有效值只持续了190ms左右，而lin周期是180ms,RFC周期是20ms,再加上误差，190ms时间不能保证lin上能收到有效值。如之前沟通，建议VCU有效值持续300ms再恢复noaction",车端状态同步逻辑异常，致模式6跳变4/3 [详情: D:\program16\docs\2026-08-31\VCU-205537_comments.md],0.754,是,
VCU-206038,冷启动时 通信代理与其他core service客户端启动时间不一致， 收到云端请求时，远控服务还未启动 ，远控服务启动太慢导致无法接收指令,远控异常疑因VCU通信时序，重试未解，需深查 [详情: D:\program16\docs\2026-08-31\VCU-206038_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.35<0.7
VCU-206265,需求理解存在问题，在下发请求时，没有按照 FieldMask 进行处理,云端缺Mode参数致车端崩溃，冰箱异常已修复待合入 [详情: D:\program16\docs\2026-08-31\VCU-206265_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.1<0.7
VCU-206586,comment5的问题在复测后未复现，由于日志被覆盖，问题原因无法定位，持续观察,断电重启后冰饮状态显示异常，问题定位车端或APP逻辑 [详情: D:\program16\docs\2026-08-31\VCU-206586_comments.md],0.532,否,置信度0.532<0.7，语义相似度0.2<0.7
VCU-207543,新增仲裁需求： 如果VCU没有下发并且迎宾没有触发的情况下，发no action。 如果VCU下发并且迎宾没有触发的情况下，透传VCU的信号。 如果VCU下发并且迎宾触发的情况下，迎宾优先级高。（迎宾场景触发时间中，不处理VCU信号，要等待所有的整车灯光迎宾场景结束后 ，才触发VCU信号。）,迎宾SWC仲裁逻辑缺陷致灯光控制失败，修复已合入 [详情: D:\program16\docs\2026-08-31\VCU-207543_comments.md],0.736,是,
VCU-210499,local 8155 property未成功集成进版本，需要用0725及以后版本复测 setusageprofile和vehiclemode都注册了CAN信号PatacProperty.<i>SYSTEM_POWER_MODE；</i>当信号信号回调时在仅触发了setusageprofile，没有触发vehiclemode；,远程启动失败因NDLB未集成REMOTE_VEHICLE_START属性 [详情: D:\program16\docs\2026-08-31\VCU-210499_comments.md],0.613,否,置信度0.613<0.7，语义相似度0.2<0.7
VCU-210539,同 1063283 相同需求原因同 1063283 相同解决方案,VCU流转环节异常，远程座椅温控失效待查 [详情: D:\program16\docs\2026-08-31\VCU-210539_comments.md],0.935,是,
VCU-215255,CoreService冷启动性能问题,冷启动超时属设计，浅休偶发不执行待查 [详情: D:\program16\docs\2026-08-31\VCU-215255_comments.md],0.506,否,置信度0.506<0.7，语义相似度0.1<0.7
VCU-215765,WAD,充电指令未唤醒车辆，因安吉星未注册；注册后屏不亮属正常 [详情: D:\program16\docs\2026-08-31\VCU-215765_comments.md],0.928,是,
VCU-215859,simulator问题,主驾门状态未联动停止逻辑，需查乘客门订阅 [详情: D:\program16\docs\2026-08-31\VCU-215859_comments.md],0.91,是,
VCU-217787,立即充电模式下车端上报开始/结束时间为00，覆盖了手机端缓存数据,预约充电时间显示异常，已定位为APP适配问题，待新包复测 [详情: D:\program16\docs\2026-08-31\VCU-217787_comments.md],0.503,否,置信度0.503<0.7，语义相似度0.1<0.7
VCU-217851,之前版本也存在 1.由于架构设计的SomeIp service是一个回调接口中存在多个不同的参数，包括座椅按摩的档位和强度以及其他参数，每当有一个参数发生变化都会带有其他参数的旧的数据，导致根据最新的回调接口中的参数来更新界面是不对的。 2.根据coment37所述，由于链路较长，导致下发理疗开或者关的时候底层有850ms左右的响应时间，底层信号还未反馈时，操作下一次，会导致信号紊乱；,信号处理异常致座椅按摩失效，已提交补丁待验证 [详情: D:\program16\docs\2026-08-31\VCU-217851_comments.md],0.86,是,
VCU-218317,缓存值导致更新了错误的结束时间,指令执行成功，但手机端状态未同步，已定位并提交补丁 [详情: D:\program16\docs\2026-08-31\VCU-218317_comments.md],0.523,否,置信度0.523<0.7，语义相似度0.2<0.7
VCU-218521,代码原因,充电卡片状态滞后，已修复待验证 [详情: D:\program16\docs\2026-08-31\VCU-218521_comments.md],0.896,是,
VCU-218801,"20. <b><a href=""https://peedp.saic-gm.com/jts/users/sdvi35"">蒯嫚玲,Kuai Manling</a></b> Aug 4, 2025 6:31 PM 根据log VCU发送的上锁解锁是一个reserved 的信号，该CR是在VSC13.0才实施",Coreservice注册时序致车门车窗反馈异常，0718已修复 [详情: D:\program16\docs\2026-08-31\VCU-218801_comments.md],0.623,否,置信度0.623<0.7，语义相似度0.581<0.7
VCU-220600,网络原因,远控定位失败因SOME/IP断链及GNSS丢星，待版本复测 [详情: D:\program16\docs\2026-08-31\VCU-220600_comments.md],0.541,否,置信度0.541<0.7，语义相似度0.15<0.7
