bugid,触发时间,新根因结论,已入库根因分析,根因相似度,已入库分析流程,流程相似度,判定结果,文档路径,抽查时间,人工审核结论
BUG-5001,2026-08-10 09:15:00,数据库连接池耗尽导致服务超时,数据库连接池耗尽导致服务超时,1.0,1. 查看服务错误日志，发现大量数据库连接超时错误，连接池活跃连接数达到上限 | 2. 分析连接池监控指标，确认 HikariPool 活跃连接 50/50，idle=0，连接池已耗尽 | 3. 定位到慢查询 SELECT * FROM t_order_detail 执行耗时 28.4s，长期占用连接未释放 | 4. 修复慢SQL并扩大连接池配置，服务恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5001.md,2026-08-25 10:02:06,
BUG-5003,2026-08-12 03:47:00,Redis集群节点宕机引发缓存雪崩压垮数据库,Redis集群节点宕机引发缓存雪崩压垮数据库,1.0,1. 检查Redis集群状态，发现 redis-node-2 节点网络抖动导致心跳丢失，集群标记节点 FAIL | 2. 分析缓存命中率，确认节点宕机引发缓存雪崩，热点 key 集中失效 | 3. 确认大量缓存请求穿透到数据库，数据库 QPS 从 800 激增至 9200，CPU 使用率 99% | 4. 重启 Redis 节点并补充缓存降级策略，数据库压力恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5003.md,2026-08-25 10:02:14,
BUG-5002,2026-08-11 14:32:00,订单服务内存泄漏引发OOM进程重启,订单服务内存泄漏引发OOM进程重启,1.0,1. 排查订单服务内存使用情况，发现 JVM 老年代使用率从 82% 持续增长至 91% | 2. 分析GC日志，确认 Full GC 耗时 6.2s 且回收率不足 5%，堆内存持续增长不回收 | 3. 定位到 OrderExportCache 持有 240 万条记录未释放，确认为内存泄漏点 | 4. 修复未关闭的数据库会话并清理缓存，服务重启后内存恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5002.md,2026-08-25 10:02:23,
,,,,,,,,,,
BUG-5002,2026-08-11 14:32:00,订单服务内存泄漏引发OOM进程重启,订单服务内存泄漏引发OOM进程重启,1.0,1. 排查订单服务内存使用情况，发现 JVM 老年代使用率从 82% 持续增长至 91% | 2. 分析GC日志，确认 Full GC 耗时 6.2s 且回收率不足 5%，堆内存持续增长不回收 | 3. 定位到 OrderExportCache 持有 240 万条记录未释放，确认为内存泄漏点 | 4. 修复未关闭的数据库会话并清理缓存，服务重启后内存恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5002.md,2026-08-25 10:01:49,
BUG-5001,2026-08-10 09:15:00,数据库连接池耗尽导致服务超时,数据库连接池耗尽导致服务超时,1.0,1. 查看服务错误日志，发现大量数据库连接超时错误，连接池活跃连接数达到上限 | 2. 分析连接池监控指标，确认 HikariPool 活跃连接 50/50，idle=0，连接池已耗尽 | 3. 定位到慢查询 SELECT * FROM t_order_detail 执行耗时 28.4s，长期占用连接未释放 | 4. 修复慢SQL并扩大连接池配置，服务恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5001.md,2026-08-25 10:01:59,
,,,,,,,,,,
BUG-5003,2026-08-12 03:47:00,Redis集群节点宕机引发缓存雪崩压垮数据库,Redis集群节点宕机引发缓存雪崩压垮数据库,1.0,1. 检查Redis集群状态，发现 redis-node-2 节点网络抖动导致心跳丢失，集群标记节点 FAIL | 2. 分析缓存命中率，确认节点宕机引发缓存雪崩，热点 key 集中失效 | 3. 确认大量缓存请求穿透到数据库，数据库 QPS 从 800 激增至 9200，CPU 使用率 99% | 4. 重启 Redis 节点并补充缓存降级策略，数据库压力恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5003.md,2026-08-25 10:01:15,
BUG-5004,2026-08-12 11:05:00,API网关SSL证书过期导致HTTPS请求握手失败,API网关SSL证书过期导致HTTPS请求握手失败,1.0,1. 检查API网关错误日志，发现 SSL 证书校验失败 certificate has expired | 2. 查看证书有效期，确认 api.example.com 证书已于 2026-08-12 00:00 过期 | 3. 确认 HTTPS 请求批量握手失败，javax.net.ssl.SSLHandshakeException，全站 API 调用失败率 98% | 4. 更新 SSL 证书并重启网关，TLS 握手恢复正常，请求恢复,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5004.md,2026-08-25 10:01:26,
BUG-5005,2026-08-13 16:20:00,慢SQL全表扫描锁表导致业务线程阻塞堆积,慢SQL全表扫描锁表导致业务线程阻塞堆积,1.0,1. 查看数据库慢查询日志，发现全表扫描操作：SELECT * FROM t_trade_record 执行耗时 56s | 2. 分析业务线程状态，确认等待 t_trade_record 行锁的线程达 210 个，线程池使用率 100% | 3. 定位到订单查询SQL缺少索引导致全表扫描锁表，业务线程阻塞堆积 | 4. 添加索引 idx_create_time 并优化SQL，kill 慢SQL会话后服务恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5005.md,2026-08-25 10:01:38,
,,,,,,,,,,
BUG-5001,2026-08-10 09:15:00,数据库连接池耗尽导致服务超时,数据库连接池耗尽导致服务超时,1.0,1. 查看服务错误日志，发现大量数据库连接超时错误，连接池活跃连接数达到上限 | 2. 分析连接池监控指标，确认 HikariPool 活跃连接 50/50，idle=0，连接池已耗尽 | 3. 定位到慢查询 SELECT * FROM t_order_detail 执行耗时 28.4s，长期占用连接未释放 | 4. 修复慢SQL并扩大连接池配置，服务恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5001.md,2026-08-25 10:00:25,
BUG-5004,2026-08-12 11:05:00,API网关SSL证书过期导致HTTPS请求握手失败,API网关SSL证书过期导致HTTPS请求握手失败,1.0,1. 检查API网关错误日志，发现 SSL 证书校验失败 certificate has expired | 2. 查看证书有效期，确认 api.example.com 证书已于 2026-08-12 00:00 过期 | 3. 确认 HTTPS 请求批量握手失败，javax.net.ssl.SSLHandshakeException，全站 API 调用失败率 98% | 4. 更新 SSL 证书并重启网关，TLS 握手恢复正常，请求恢复,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5004.md,2026-08-25 10:00:36,
BUG-5002,2026-08-11 14:32:00,订单服务内存泄漏引发OOM进程重启,订单服务内存泄漏引发OOM进程重启,1.0,1. 排查订单服务内存使用情况，发现 JVM 老年代使用率从 82% 持续增长至 91% | 2. 分析GC日志，确认 Full GC 耗时 6.2s 且回收率不足 5%，堆内存持续增长不回收 | 3. 定位到 OrderExportCache 持有 240 万条记录未释放，确认为内存泄漏点 | 4. 修复未关闭的数据库会话并清理缓存，服务重启后内存恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5002.md,2026-08-25 10:00:46,
BUG-5003,2026-08-12 03:47:00,Redis集群节点宕机引发缓存雪崩压垮数据库,Redis集群节点宕机引发缓存雪崩压垮数据库,1.0,1. 检查Redis集群状态，发现 redis-node-2 节点网络抖动导致心跳丢失，集群标记节点 FAIL | 2. 分析缓存命中率，确认节点宕机引发缓存雪崩，热点 key 集中失效 | 3. 确认大量缓存请求穿透到数据库，数据库 QPS 从 800 激增至 9200，CPU 使用率 99% | 4. 重启 Redis 节点并补充缓存降级策略，数据库压力恢复正常,1.0,达标,D:\program16\spotcheck\2026-08-25\re-BUG-5003.md,2026-08-25 10:00:52,
