jira号,执行结果,报告长度,备注,执行时间,AI评论总结,rootcause,结果置信度
VCU-419833,成功,0,分析任务已启动，Issue: VCU-419833 正在后台处理中,2026-01-17 10:17:37,,,
VCU-417623,成功,0,分析任务已启动，Issue: VCU-417623 正在后台处理中,2026-01-18 13:59:34,Critical — 对话轮次判定错误 [详情: D:\program16\docs\2026-08-27\VCU-417623_comments.md],进入XX模式和退出XX模式，都会移动座椅，目前语音的交互设计都会引导二次确认,0.817
VCU-196894,成功,0,分析任务已启动，Issue: VCU-196894 正在后台处理中,2025-04-28 07:31:01,,,
VCU-165996,成功,0,分析任务已启动，Issue: VCU-165996 正在后台处理中,2024-08-07 12:32:23,,,
VCU-133218,成功,0,分析任务已启动，Issue: VCU-133218 正在后台处理中,2024-01-11 16:40:34,,,
VCU-210499,成功,0,分析任务已启动，Issue: VCU-210499 正在后台处理中,2025-07-15 18:47:44,,,
VCU-151780,成功,0,分析任务已启动，Issue: VCU-151780 正在后台处理中,2024-05-23 14:40:15,,,
VCU-416584,成功,0,分析任务已启动，Issue: VCU-416584 正在后台处理中,2026-01-06 13:55:12,Critical [详情: D:\program16\docs\2026-08-27\VCU-416584_comments.md],当前设计如此（Critical）,0.929
VCU-210539,成功,0,分析任务已启动，Issue: VCU-210539 正在后台处理中,2025-06-27 09:45:57,RPC 服务未注册 [详情: D:\program16\docs\2026-08-27\VCU-210539_comments.md],同 1063283 相同需求原因同 1063283 相同解决方案,0.885
VCU-217787,成功,0,分析任务已启动，Issue: VCU-217787 正在后台处理中,2025-07-18 14:53:11,,,
VCU-416926,成功,0,分析任务已启动，Issue: VCU-416926 正在后台处理中,2026-01-08 16:47:47,,,
VCU-421511,成功,0,分析任务已启动，Issue: VCU-421511 正在后台处理中,2026-01-09 15:12:05,NLU 意图映射错误（根因） [详情: D:\program16\docs\2026-08-27\VCU-421511_comments.md],跟踪1237895 重复单,0.894
VCU-77955,成功,0,分析任务已启动，Issue: VCU-77955 正在后台处理中,2022-12-22 11:38:16,,,
VCU-415866,成功,0,分析任务已启动，Issue: VCU-415866 正在后台处理中,2026-01-31 08:59:18,,,
VCU-220600,成功,0,分析任务已启动，Issue: VCU-220600 正在后台处理中,2025-07-08 16:22:15,,,
VCU-51609,成功,0,分析任务已启动，Issue: VCU-51609 正在后台处理中,2022-12-22 16:52:06,,,
VCU-216767,成功,0,分析任务已启动，Issue: VCU-216767 正在后台处理中,2025-07-17 16:15:27,,,
VCU-194755,成功,0,分析任务已启动，Issue: VCU-194755 正在后台处理中,2025-03-12 20:41:44,,,
VCU-53182,成功,0,分析任务已启动，Issue: VCU-53182 正在后台处理中,2022-01-14 17:50:36,操作时序不一致 [详情: D:\program16\docs\2026-08-27\VCU-53182_comments.md],root cause:当前软件持续无法复现该问题，原Log不足，无法分析，所以需要走不复现流程 solution：请验证同时测试三个版本 验证版本：PATAC=,0.735
VCU-416987,成功,0,分析任务已启动，Issue: VCU-416987 正在后台处理中,2026-01-07 14:44:01,,,
VCU-421598,成功,0,分析任务已启动，Issue: VCU-421598 正在后台处理中,2026-01-18 19:08:57,Critical — DM 语义模型映射缺失 [详情: D:\program16\docs\2026-08-27\VCU-421598_comments.md],语义问题,0.918
VCU-164457,成功,0,分析任务已启动，Issue: VCU-164457 正在后台处理中,2024-06-28 15:41:28,,,
VCU-198434,成功,0,分析任务已启动，Issue: VCU-198434 正在后台处理中,2025-04-22 13:57:38,currentMode 数组与请求模式值系统性不匹配 [详情: D:\program16\docs\2026-08-27\VCU-198434_comments.md],代码问题,0.896
VCU-244354,成功,0,分析任务已启动，Issue: VCU-244354 正在后台处理中,2025-10-30 10:52:18,,,
VCU-157809,成功,0,分析任务已启动，Issue: VCU-157809 正在后台处理中,2024-04-17 03:52:19,,,
VCU-403083,成功,0,分析任务已启动，Issue: VCU-403083 正在后台处理中,2025-12-12 19:57:10,,,
VCU-205023,成功,0,分析任务已启动，Issue: VCU-205023 正在后台处理中,2025-06-09 19:08:52,,,
VCU-218521,成功,0,分析任务已启动，Issue: VCU-218521 正在后台处理中,2025-07-28 13:20:00,ChargingServiceProfileTopicMapper 遗漏字段清零 [详情: D:\program16\docs\2026-08-27\VCU-218521_comments.md],代码原因,0.87
VCU-194145,成功,0,分析任务已启动，Issue: VCU-194145 正在后台处理中,2025-03-06 02:36:34,,,
VCU-523014,成功,0,分析任务已启动，Issue: VCU-523014 正在后台处理中,2026-07-23 10:28:52,conditional_judgment=null 导致无条件唤醒 [详情: D:\program16\docs\2026-08-27\VCU-523014_comments.md],mqttmp 探测器服务pod内部网络异常，已修复，请重新测试，谢谢,0.774
VCU-403774,成功,0,分析任务已启动，Issue: VCU-403774 正在后台处理中,2024-12-06 16:13:42,,,
