jira号,rootcause,AI评论总结,结果置信度,达标,原因
VCU-419833,预期结果不对,根因：非语义解析问题，需查后续链路 [详情: D:\program16\docs\2026-08-27\VCU-419833_comments.md],0.929,是,
VCU-417623,进入XX模式和退出XX模式，都会移动座椅，目前语音的交互设计都会引导二次确认,根因：二次确认引导流程未正确触发 [详情: D:\program16\docs\2026-08-27\VCU-417623_comments.md],0.891,是,
VCU-196894,,,,否,多维表格中未成功
VCU-165996,没有同步自动除雾/自动座椅加热/自动座椅通风设置项,根因：同步化逻辑缺陷（Bug 90813 [详情: D:\program16\docs\2026-08-27\VCU-165996_comments.md],0.525,否,置信度0.525<0.7
VCU-133218,,,,否,多维表格中未成功
VCU-210499,local 8155 property未成功集成进版本，需要用0725及以后版本复测 setusageprofile和vehiclemode都注册了CAN信号PatacProperty.<i>SYSTEM_POWER_MODE；</i>当信号信号回调时在仅触发了setusageprofile，没有触发vehiclemode；,根因：NDLB服务未注册导致属性访问异常 [详情: D:\program16\docs\2026-08-27\VCU-210499_comments.md],0.513,否,置信度0.513<0.7
VCU-151780,按照 CR 844023 删除远程控制类,初始诊断偏差，修复方向经多轮迭代修正 [详情: D:\program16\docs\2026-08-27\VCU-151780_comments.md],0.503,否,置信度0.503<0.7
VCU-416584,当前设计如此（Critical）,根因：NLU槽位解析截断致指令参数错误 [详情: D:\program16\docs\2026-08-27\VCU-416584_comments.md],0.878,是,
VCU-210539,同 1063283 相同需求原因同 1063283 相同解决方案,根因：ServiceBus路由失败，请求 [详情: D:\program16\docs\2026-08-27\VCU-210539_comments.md],0.935,是,
VCU-217787,立即充电模式下车端上报开始/结束时间为00，覆盖了手机端缓存数据,根因：预约充电与立即充电指令冲突 [详情: D:\program16\docs\2026-08-27\VCU-217787_comments.md],0.528,否,置信度0.528<0.7
VCU-416926,问题重复，跟踪1240096即可 by曹达,根因：NLU泛化不足，未覆盖“行李舱”同 [详情: D:\program16\docs\2026-08-27\VCU-416926_comments.md],0.849,是,
VCU-421511,跟踪1237895 重复单,根因：NLU多意图解析丢失 [详情: D:\program16\docs\2026-08-27\VCU-421511_comments.md],0.934,是,
VCU-77955,,,,否,多维表格中未成功
VCU-415866,,,,否,多维表格中未成功
VCU-220600,网络原因,根因：交换机固件版本缺陷致someip链 [详情: D:\program16\docs\2026-08-27\VCU-220600_comments.md],0.541,否,置信度0.541<0.7
VCU-51609,,,,否,多维表格中未成功
VCU-216767,,,,否,多维表格中未成功
VCU-194755,测试延期,根因：日志证据缺失，结论不成立 [详情: D:\program16\docs\2026-08-27\VCU-194755_comments.md],0.849,是,
VCU-53182,root cause:当前软件持续无法复现该问题，原Log不足，无法分析，所以需要走不复现流程 solution：请验证同时测试三个版本 验证版本：PATAC=458_163_ppv3-20220508-RQB23C-79;验证20次未复现问题，继续观察 验证版本：PATAC= 458_R2_NS1-20220528-RQB23C-6; 台架验证10次 未复现问题 验证版本：PATAC= 458_,根因：音量组别配置差异 [详情: D:\program16\docs\2026-08-27\VCU-53182_comments.md],0.534,否,置信度0.534<0.7
VCU-416987,思必驰的协议字段参数增加了具体的数值,NLU解析后执行链路中断 [详情: D:\program16\docs\2026-08-27\VCU-416987_comments.md],0.518,否,置信度0.518<0.7
VCU-421598,语义问题,根因：语义解析槽位映射错误 [详情: D:\program16\docs\2026-08-27\VCU-421598_comments.md],0.905,是,
VCU-164457,需求要求：快捷控制编辑态无需展示按键的状态，预览区和仓库中的按键应统一显示为 Normal状态。 且自动远光灯之前就为打开的状态，INC进入编辑态后，自动远光灯与其他按钮一起进入Normal状态，符合需求。,根因：自动远光灯与编辑态切换时状态同步缺 [详情: D:\program16\docs\2026-08-27\VCU-164457_comments.md],0.781,是,
VCU-198434,代码问题,状态回传与UI显示链路断裂 [详情: D:\program16\docs\2026-08-27\VCU-198434_comments.md],0.917,是,
